cap1,cap2,cap3,cap4,X,Y
0.70712,0.88478,0.93737,0.82217,2.314,2.342
0.72853,0.89129,0.94359,0.86005,2.3351,2.3238
0.75146,0.90023,0.95169,0.89851,2.3342,2.323
0.76908,0.91064,0.96087,0.92951,2.3315,2.3205
0.78061,0.92089,0.96927,0.94622,2.3302,2.3256
0.78637,0.92946,0.97477,0.94576,2.3277,2.3338
0.78708,0.93505,0.97043,0.93016,2.327,2.3374
0.78351,0.93651,0.95994,0.90541,2.327,2.3338
0.77681,0.93291,0.95125,0.87903,2.327,2.3274
0.7688,0.92375,0.9433,0.85739,2.3252,2.325
0.76175,0.90957,0.93708,0.84398,2.324,2.3229
0.75743,0.89234,0.933,0.83895,2.3264,2.3229
0.75655,0.87527,0.93092,0.83798,2.3311,2.3254
0.75838,0.86211,0.93055,0.83621,2.3347,2.3264
0.7614,0.85493,0.93114,0.83443,2.3335,2.3304
0.76417,0.8509,0.93168,0.8295,2.3296,2.3372
0.76587,0.85362,0.93182,0.82517,2.3306,2.3397
0.76635,0.86464,0.93202,0.82328,2.285,2.388
0.76586,0.88156,0.93262,0.82305,2.2869,2.3871
0.76488,0.89797,0.93349,0.82629,2.3323,2.3408
0.76401,0.91176,0.93473,0.83183,2.3379,2.3304
0.76379,0.92298,0.93605,0.84026,2.3328,2.3279
0.76448,0.92804,0.93671,0.84491,2.3304,2.3257
0.76565,0.92929,0.93654,0.84539,2.33,2.3233
0.76602,0.9254,0.93569,0.84244,2.329,2.321
0.76382,0.91781,0.93421,0.83582,2.3289,2.32
0.75768,0.90876,0.9325,0.82779,2.3311,2.3393
0.74755,0.89914,0.93097,0.82056,2.3318,2.3711
0.73501,0.89157,0.92986,0.81547,2.3282,2.3564
0.72273,0.88776,0.92902,0.81287,2.3254,2.3212
0.71321,0.88636,0.92925,0.81194,2.324,2.3214
0.70787,0.8859,0.93179,0.8116,2.3296,2.3178
0.70678,0.88541,0.93665,0.81307,2.3346,2.315
0.70939,0.88446,0.94128,0.81611,2.3371,2.315
0.71539,0.88308,0.94746,0.82351,2.338,2.315
